Source ID,If you could change anything about the sales or design centre process  what would it be?
TAM06191001,"Please provide significantly more clarity on the timeline of events, and key check in dates."
TAM02171010,"This has been a wonderful experience and has surpassed the overall quality of service and sales experience that we had received compared to other builders that we had dealt with in the past. I will recommend Tamarack to my family and friends. The only minor change that I would have made for myself would have been to request to see a visual of the new tub style that was going to be installed in the en-suite of our master bedroom. I was informed that our home would not have the large roman soaker tub which was displayed in the model homes but instead would have a different, more modern tub style. Looking back, I should have asked to see a visual of this tub to calm my curiosity."
TAM11191000,Orientation session. Provide catalogue for review prior to meeting with designer. Ensure all pricing is reviewed.
TAM0915108,"Clearly indicate any changes since purchasing to standard design options so that the client has the opportunity to upgrade (ex. the standard fireplaces were changed without being told) Luckily we were able to change them after noticing the difference at the model homes.

An online a la carte option sheet would be a great idea! When upgrading numerous items it becomes difficult to keep track of all the changes. A system with pictures and descriptions that you could input would allow the client to be better prepared for design appointments and save a lot of time on both ends. Just a thought!

Overall - Very Satisfied Customer so far! We can't wait to move in!"
TAM0317111,"We were very happy with our experience. Some comments but again, not complaints just feedback. Later hours at design Centre. The Maskoka kitchen digital renderings were very helpful. I wish we could see digital renderings from Tamarack with all of our colour choices and house options. Would help us see what we are selecting and how it looks."
TAM08191047,"1. A more welcoming sales center attitude. Sales reps and managers should be rotated across community sales centers to diversify sales styles. This is the first point of contact, and could be a deal maker or deal breaker.
2. Increased clarity on structural/sales center design decisions vs. design center decisions. We were not made aware of front door selection during sales stage.
3. Design center selection sheet was quite unreadable. Bundles should be made clearer, and pictures would be significantly helpful in budgeting upgrades."
TAM09171003,"The $10K sales incentive is deceiving ... It's in fact a $8,849.56 rebate + HST ... not a $10K deduction on your bottom line before taxes.
So it's basically ""false advertisement"". You should change that. I already pointed this out to our Sales person when we signed
the purchase agreement. I know it's written in the purchase agreement but the way Tamarack advertise its $10K incentive is wrong."
TAM1213100,Nothing it was overal a good experience
TAM0717120,We would have liked to have had the home layout online with the ability to have design selections online to allow us to visualize options and selections
TAM0313126,"The design center kept adding my boyfriend name on every sheet (the color selection, the kitchen upgrades sheet,etc)regardless of my wishes to remove his name since I am the house purchaser.I believe his name was added because both our names were on the information card and was entered to the system this way. The sales office removed his name at the time of buying the house but not the design center.It was not until i refused to sign the amendment to the agreement of purchase that the design center removed his name.  I have asked the design center to reprint the rest of the design center sheets with only my name on it but i was told this can not be done since i have already signed and the only sheet that matters is the amendment.I was  told that i could sign the amendment first then get his name removed after. If I have not refused to sign the amendment with his name on it, I believe that his name would show on it as well and it would be too late to remove it like the other design center sheets."
TAM0813106,"That the design centre would be more accommodating.  We did not get to choose much to make the house our own.  For example, we couldn't have a back splash in our kitchen.  We requested a couple light in the house and a light for the fridge.  We got the one for the fridge but not the other lights.  In general, she was not very accommodating."
TAM07191038,N/A
TAM05191007,"More time at the design center, 2 days is not enough."
TAM1109123,"Sales center is always efficient and prompt response.

For design center, the first orientation good. But it is not necessary be done by the designer. Julie ( the receptionist ) did this job very good. In that case, the designer will have more time for 2nd and 3rd appointment."
TAM0510118,"Sales center was excellent. Louise Weegar was extremely helpful and in all our experience (homes, rental properties & condos we have purchased) have never had someone that has helped us every step of the way. We would purchase another Tamarack home if she would be our sales person!

Design center was very complex, especially compared to Tartan which does everything in one place. The 1st appt for intro was useless and a waste of time. Verydisappointing to get there and find out that you then have to book 3 other appts for kitchen, alarm system, wiring etc. Standard selections are very nice, kitchen cabinetry is too complex and should be simplified. Kim Knuth was our representative and she was excellent"
TAM0614207,"I think everything is good, nothing to change!"
TAM07191014,to make  a tour at my new home before the closing date.
TAM09191022,I hope I can design myself through website like Tartan .
TAM1112106,make appointments later on in the day. we both work 9-5 so had to book off work for our design centre appointments.
TAM1013104,"NothiNg. Very good experience, great builder :)"
TAM0913103,nothig the experience so far has been nothing but the best thank you
TAM0315104,Deign Center should be able to define individual price and other options of our choice.  I understand that because of insurance we are not allowed to enter the new structure.  Some customers are more knowledeable than others and should be allowed supervised access during the build.
TAM1215102,A visual aid such as a program to see your design choices automatically layed out in your home.  Will take the guessing out of whether it will look good or not as it will justify the small sample sizes
TAM1016109,"The design centre would be better laid out with respect to upgrades being better defined and more visible.  Also, the tile should be easier to browse through."
TAM04182002,"Sales and design centre are good, nothing needs to be changed"
TAM0613106,"There was no input in some changes I was looking to have made and was willing to pay for.
ie. second laundry room hookup in basement. With Mattamy options like this were available if paid for. 
Very rigid structure with no flex at Tamarack."
TAM0516104,"Nothing that I can think of; so far, the purchase has been as good or better than anticipated."
TAM0411116,Everybody was professional and helpful.  Noella is very friendly and its always a pleasure to visit her and her team.  Kim was very knowledgeable and had great ideas.  The team at the design centre was always very welcoming and always made time to answer questions.  We dealt with 3 dif girls at the design centre and they were all very good.  It was a pleasure going to every meeting.  I can see you have put some thought and time in the entire buying experience for your customers and it was a great experience.  I have recommended Tamarack to all my friends.
TAM0816114,"Just to have much more communication for first time homebuyers to fully understand the process and not feel so left in the dark as well as to have the opportunity to visit the home while the design choices are being installed to ensure it is the correct colors, counters and all choices etc..."
TAM1016100,We would have appreciated an extra staff member present in the design center for clients that are simply browsing with questions about upgrades and standard features. We went 3 times following our home purchase but were unable to ask questions as the design agents were with other clients and there was no one else available. Mandy Mason was assigned to us and is amazing! Knowledgeable and professional!
TAM09181014,"During the sales stage (1st meeting)...there should be NOTHING to be discussed with regards to upgrades. Upgrades SHOULD be discussed during the design stage. During the design stage, they asked everything that we wanted, inside and out,  but she doesn't know what is standard or not.  To be more specific, she showed us a shower style in the showroom that we are supposed to get, asked us the type and size of tiles, etc.. but that was the opposite of the shower that we are getting. We were carried over for a long period of time... time went on and then they told us we are not getting what we wanted until it was too late to make such changes.  ***Is it true that before papers were signed during the sales process, materials for the house were already bought and customers can no longer make any changes?***  In closing, we are not happy with our future house because we did not get what we wanted."
TAM01171005,Having to deal with the brick for the appliances
TAM1216104,No changes.
TAM0511130,I believe more time should be allocated during the design centre process.  I felt that there wasn't enough time with the design centre rep for us to ask all our questions and go through each step and/or room.
TAM1014103,It is done in a professional manner.
TAM1215100,Knowing prices of upgrades prior to purchase
TAM1111106,date of moving in
TAM0513113,I would recommend more transparency in the initial buying phase regarding what comes standard and upgrades.  Providing the home buyer with a list of what constitutes an upgrade and the price associated it with it.  This would help give the home buyer a better of idea of what the final price will be on the home they are purchasing.
TAM0816112,"Customer service reception at design centre needs a lot of improvement.
Design centre should provide more options on Saturday for appointments for those 
Who have no time during weekdays."
TAM0314112,"We would have appreciated being told in advance that our design centre bonus would have HST applied to it. Furthermore, the final total cost of our home was misquoted to us three times before we received an accurate price. For 80% of our schedules meetings with sales and design centre staff, the staff were either absent or extremely late (greater than 30 minutes). The design centre staff made several mistakes we had to correct multiple times regarding upgrades we selected. During our frame inspection walkthrough, we found empty beer cans in one of the closets in our new home and the sales rep accompanying us did not apologize and simply told us that this was an ongoing problem with their builders."
TAM1012109,Better upgrade prices.  No double charging ie pay for standard and pay again for upgrade to hardwood floors.  Upgrades are extremely pricy.  No credit towards standard items when upgrades are made.
TAM0412113,nothing
TAM0913104,No comment.
TAM0510139,"The part which I would change was Muskoka cabinet appointment/design portion.
After our Muskoka appointment we were not given any pricing information until the very last design center appointment when we were to sign off on the final agreement. 
This left some of our final decision making extremely hurried since we did not have access to this costing information. We tried to take it in stride  but I can see the typical buyer react much more negatively."
TAM0711102,"Some of the sales center staff were unfriendly, condescending and we dreaded having to go there.  The design center process was ok; we were very disappointed with the offerings.  We chose Tamarack because we believed the standards were a class above other builders.  This is not the case.  At least 20K in upgrades on top of the purchase price is required to make the house somewhat modern.  The kitchen options were so poor that had we visited the design center prior to the purchase, we would not own a Tamarack home.  Some of the design center staff only pushed upgraded items, and didn't offer alternatives from the standard selections."
TAM08171022,"All is well. I would like to suggest you one thing that they were not able to explain about the upgrades like extra window in the basement, brick in the front in triangle area . Optional upgrade list is very important for customer. Overall experience with tamarack is amazing ??????????"
TAM0911115,I would have liked to have seen greater flexibility with the design and better quality for the standard options (kitchen design was particularly poor).
TAM08191030,no change necessary
TAM0614202,"Sales was fantastic!
She could not answer Design question it was already chosen I scored it a 7:During the design selections experience, the Design Consultant:"
TAM06171015,"More time should be provided to single home buyers at design centre, all items like tiles should be properly laid out. There should be standard and upgrades separately visible for comparison. Muskoka kitchen representative is always in rush and not very friendly with customers and do not listen to their concerns. Always tries to rush with the selection process. She is pro in her field but home buyers are not. It would be nice if the rates are displayed with the upgrades to make quick decisions."
TAM0813113,Tera and Carolyn and every vendor and supplier from tackaberry to Muskoka to grants were just awesome.  Building the house while we lived in San Francisco was made incredibly easy and we felt like we had an advocate working for us.   Terrific staff and terrific builder.   We can't wait to move our family into the neighborhood.
TAM0711109,More time and assistance in becoming familiar with the process and difference between standard and upgrades.
TAM10181037,Need more transperancy on custom upgrade pricing. Granite extension for kitchen island seems to be overpriced. Sales representative should highlight differences between model home and actual home clearly so that customers can make informed decisions.
TAM11191026,"I hope the design center can provide a picture or a 3-D vision result after we picked up all of our designs. 
This will give us better idea on where we want to change, or if the colour matches."
TAM0615106,"Be more receptive to client needs. Prices are totally exaggerated. Builder shows absolutely no flexibility for very simple things. Builder is not at all responsible for the environment. 

I don't know a single person who is happy after going through the design centre. Sometimes you simply want them not to install something because they changed the specs and they will not even make an effort to please the client and listen to their needs. 
I hope one day they will realize that the market is not always rosy and this is when they will hurt. Overall. It was a very unpleasant and frustrating experience dealing with the builder. The design centre staff was very caring and tried their best to accommodate us and listen to our needs but it felt like the decidion was made based on the mood if the guy at head office."
TAM04182006,The 2 biggest issues we had during our home buying experience were during the design selection phase (the young lady working in this department seemed very unprepared and made numerous mistakes during this process).  We had to constantly check and double check the details which was very frustrating.  The second issue we had was the delay in closing - our home was delayed a few times which has caused additional stress.
TAM0710113,Communication between the sale centre and the progress of the home being build.  We requested to know if our home was going to be delayed or not.  Sale centre was unable to provide us with that information.  Had to contact Customer Service Rep. during the week.  The information should be accessible through the sale centre.
TAM02182011,"Very good experience thanks to Noella, Kim and Ewa."
TAM10191034,Their pricing method was little vague and complicated when it came to premium upgrades vs to the standard. They used a little lure tactics to get the upgrades it could be more clear.
TAM0614100,"That everyone would be fully bilingual, joyful, friendly."
TAM01181008,"I was not happy with increasing the house price and decreasing the design centre bounce at the same time. If I had the chance to make any change, I will stick to the price of the house and/or the bounce for the design centre."
TAM0816105,I am ok with the sales and the process.  I was a bit surprise of fast the upgrades can add up.  I enjoyed the overall process and I will be better prepared for my next purchase.
TAM0915124,"At this point of process I would not change anything, been happy so far"
TAM0411125,Wish I had more money to spend!  Everyone I have dealt with so far have been very helpful.
TAM0312115,Nothing at all!!  Both Val and Mandy were amazing!!  Had a great experience!!!
TAM05191006,"Similar to furnaces and ACs, include water heater tanks into the price of the house rather than pushing customers to sign rental agreements. If customers decide to buy the water heaters, have proper documentation at hand including price, warranty, specs, model etc.. What is currently happening is very shady in contrary to the reputable name of Tamarack !"
TAM0513117,nothing
TAM10191015,Extra available appointments with the design center
TAM01201006,"No, nothing."
TAM0613108,to integrate the design in virtuel way
TAM09191039,"The lack of a website to facilitate design choices and the lack of visual information about upgrades (what does toilet model XZC74bRF5 look like? No clue.)

In the same vein, a 3D ""walk through"" (virtual reality headset!) would be dramatically awesome.

Also problematic was the lack of information about models or functionalities offered by ""furnace upgrade"" or ""refrigerant unit"" or ""humidifier add-on""."
TAM01201007,Nothing
TAM1216105,"1. The design  center process needs to be more structured, so the customer can be more aware of timing for all designs to be chosen and more time to select choices/change choices at the last appointment and review the documents to ensure they are accurate and complete.
2. There should be a one-page docuemnt with the full cycle of the process from signing the CAPS to the movein date with approximate timelines."
TAM12181009,Not understanding how a gas line can be offered for a dryer and not a stove when the gas line runs 3feet from the stove location to the hot water tank upstairs in the gallery townhomes.
TAM1014131,"There was a lack of communication during the walk through, the builder did not note any deficiencies - if something is discontinued be up to date with material (decor)."
TAM11191005,"I would like to have more time to make my choices, design centre should be more organized and have clearer labeling so clients are able to compare quality and prices with less confusion . It would also be nice to have staff to help you better in the show room before meeting with the designers. There should always be someone at reception in showroom ."
TAM10171034,Everything went well. There is not much to change.
TAM04171025,Both processes have been exceptional!  The communication and professionalism we have encountered by all your staff has been outstanding and they have all be very courteous and friendly!  This journey has been a most enjoyable one!  Can't think of anything we would change at this point!
TAM0516109,it would be nice to have the structural and design changes to happen together as they often go hand in hand.  It was a pain having to go back to the model homes to make a structural change based on the design finishes we wanted
TAM0909109,"During the design centre appointment, we were rushed to make our decisions. It took a month to schedule an appointment (they were completely booked). When I called to reschedule the first appointment due to family emergency, I was told that if I did reschedule my closing date could no longer be guaranteed because the Tamarack head office hadn't notified the design centre of our closing date until very late in the process. At the design centre, there were no prices on many of the tiles. We had to wait for our selection to be priced. This took quite a long time, and, in the end, we settled for an upgraded kitchen backsplash that we didn't really like for over $1300, simply because it took too long to get the quotations and we had run out of time. We were pressured to sign the agreement the night of our third appointment (before the 45 day period had expired), but we insisted on taking it home for our review. We were again told that, if we took longer than a day to return the agreement, our closing date would be in jeopardy, even though we were only on day 41. When we read it over, we found a mistake in the selection of the kitchen backsplash. 
Our sales representative has been very friendly and has answered many of our questions. However, we have been waiting on a response from issues highlighted by our building inspector for over two weeks."
TAM0914105,We wouldn't change a thing. The whole process was very smooth.
TAM0615121,"Nothing, everything is fine."
TAM1211112,"I wish there were model homes of all the types of home Tamarack is selling. But because of their reputation I bought one without seing a model of our choice.



Good job Tamarack!"
TAM0511103,"To be honest the process was very efficient and well organized.

The only thing I would recommend is to be clear since the start of the process about what your home does include and what you have to pay for (outside of the upgrades).

Being a first time home owner, there were many things I didn't know, and I only found out along the way that weren't included as part of the sale price of the house (i.e. the AC unit).  I know that if you ask, the girls at Woodhaven will provide the proper answer, but maybe you can create a check list of what the sales price of the house includes.  A basic standard listing showing all items included as part of the base sale price.  I would do this before the sale of the house.

I know the idea is to sell a home, but all upgrades should be made clear at the start, for example, if you state that hardwood floors are standard throughout the first floor, then make it clear that that means the lightest stain of wood.  Any other stain will cost more.

It might just be that I was a 'rookie' when buying my home, but it definitely does help to have all info. upfront to make a decision.

Don't get me wrong, I love what we have done with our home and how things are coming along, and I am currently recommending Tamarack homes to everyone I know!!

But I just wanted to let you know what upfront info. I would have liked to see.

Thanks,
Jason"
TAM06161009,More time to be provided at the Design Center. My time was very limited and provided only two weeks to complete the whole process.
TAM08181033,"The sales center provided inaccurate information on three separate occasions - with respect to the island overhang in our kitchen, the vapour barrier for the garage, the location of the electrical box in the basement, and the type of lighting (e.g. we were not informed that the pot lights were not LED bulbs). As such, this significantly effected our experience with Tamarack at the design center and caused additional (and unnecessary) stress throughout the process. Moreover, because of these inaccuracies, I would not recommend Tamarack to my friends and family going forward."
TAM0812117,"""Getting quotes from design specialist, which seemed independent / disconnected from Sales Centre. Had many, many quotes (for design upgrades) over days, which could and should have been consolidated and expedited. Have better communication between Design Centre and Sales Centre. 

Pricing for design upgrades are ridiculously over-priced compared to retail prices. Labour is often the same, so should just be a cost difference / delta between a standard item and an upgrade."""
TAM02171007,I think if the design center can show the 3-D house based on my selections that would be great.
TAM0911125,N/A
TAM05191038,"Just some constructive feedback:  if the previous ""standards"" and now ""upgrades"" that the price be reflective as soon as possible. There were a couple of items we liked from the show home and were told were standard but by the time we did our selections (4 months later) some of the standards became upgrades. Jacqui and Caroline were wonderful in working with us on this and we don't have complaints, just wanted to make a note while we can."
TAM10171032,"flexability with design change.  Wanted basement finished, but was limited to one design option, which did not suit my needs."
TAM1015123,Design centre only told us the pricing the day of our appointment
TAM0610108,The Design Centre should have more display of pre-set combinations.
TAM1118110,"Design center:   catalogue has too many pages and not user friendly user.   When making upgrades the catalogue should advise what other items require  upgrading to accommodate the new changes.  For example:  when upgrading the granite sink no mention that the faucets require upgrading as well,  we find out after the fact.  This should be outlined in the catalogue instead of having to purchase items afterwards to fit the upgrade.         Décor Consultant was excellent this has nothing to do with her.  Its more about the catalogue information and lack of information the homeowner receives.  

We found the sales office did not know accurate specification of home features.  For example,  we specifically inquired about the garage insulated.  The office advised that insulation is included but to surprised it wasn't.  Apparently this was an upgrade an not a standard. 
 
Looking forward to the PDI survey,  would like to receive the survey sooner then later."
TAM10191017,Add French speaking staff on both sections.
TAM0912101,"The design centre was not very helpful, very unorganized and rude. I had to make multiple trips to the design centre for a number of mistakes that they had made after I had already signed the papers. The design centre should make sure that when the customer chooses an item out of the catalogues given that they are up to date on the discontinued items within the catalogue."
TAM0715108,"Everything went very smoothly and everyone was very supportive. A question i do have however surrounds the bonus for That we provided upon initial purchase. The Person who referred us to Tamarack was to receive a financial bonus as were we, the purchaser. I have not heard anything else about this. I believe it was 500$ or 1000$. Could we be informed on this status?"
TAM07181036,"Nothing really, it went smoothly."
TAM11171009,"I would improve the Sales Center experience.  I felt, as the customer, (I could be wrong, but this is how I felt) that we were really valued when we were deciding on which Builder to go for, but once we made up our mind on Tamarack and put the deposit, we did not feel greatly valued after that. Had a couple of bad instances as well. Though they were both corrected later on, involving higher management of Tamarack. 

The design center experience was really awesome though! Our design consultant really went out of her way to give us quality service.  She never refused to accommodate our needs and expectations, and worked with us in our limited budget.  Twice she had to stay back late (after hours) to complete our appointments. She did everything she could to make us feel valued!  She really deserves a raise! :)"
TAM1014126,"We had an issue with the lot allocation and it was given away while we still had a signed contract and Tamarack still had out deposit cheque. It the end it wa sorted out but it definately tainted our experience. Also, we were not told that the premium lot is considered an upgrade and that taxes were not included in the price. That brought up our price by approximately $10K which is a substantial amount that we had not budgeted for taxes."
TAM09181018,Prices of upgrades readily available instead of checking every time. Maybe online.
TAM06161026,"Considering that closing date is not there yet, and that I got the house after it was finished, I guess there is not much to say.
The only concern is about not leaving any space in the conversation for external inspectors to perform the pre-closing inspection."
TAM0615107,Found the plumbing contractor was abusive in upgrades
TAM0717122,"Mr. Taggart, there is nothing I would change as far  as your frontline people are concerned. They are everything  a company
like yours would want. 
 The only thing that really pissed me off was as I said before I purchased an inventory home I had to pay a $1,000 to you
because the fireplace was in the basement, A decision that was made during construction by somebody else at my expense.
Now I don't know if anybody else has mentioned this in their comments but I feel if you have no say in where the fireplace goes
you shouldn't have to pay $1,000. If you don't agree with me than enjoy my money and have beer on me."
TAM0412117,"everything is going well so far. Option selection could have been better by offering up more choices based on my needs. But, rep did not ask enough questions."
TAM06191019,I was not allowed to add pot lights in the basement. Basement bulk head is too low and when we noticed that we requested that regular lights will be a safety hazard as they were too low. But we were told that it’s not allowed to make changes. Even though site supervisor told us that still basement is under construction that it was possible to change the lights. Wiring was still being done.
TAM09181037,"Allow certain changes at the design centre, such as choosing hardwood stairs and frosted windows."
TAM03182028,If you have some models that s great for us to look for the upgrade
TAM03182007,"The Walk Through: By the time you do the frame check walk through, everything is already done so when I asked for changes they said that they could not make them."
TAM04182000,Have more trained staff on site with more availability for purchaser in design center.
TAM0414108,"Nothing, everything was great."
TAM08191037,We felt rushed at the Design Center and did not have  full attention required to help make our decision.   During our visits their was other customers  in the center and it was very  hard to obtain help when needed.   We would suggest during the last meeting (3rd meeting) the homeowner has the opportunity to sit with the design consultant to go through final decision and have the opportunity to ask questions and help with changes.   We would also suggest extending extra help to first time buyer who are not familiar with the buying/selection process and along the way.
TAM1011143,Would like to see more model homes on site.
TAM1013130,Nothing at this point
TAM0611128,"We are very pleased at the level of professionalism, the quality of work, the attentiveness to detail and the responsiveness to our questions and concerns.

Tamarack has proven its value many times over in each interaction we have had and we will not hesitate to enthusiastically recommend Tamarack as a premier home builder.

Many Thanks,

Lori-Ann McGrath & Curtis Harnanan 
(Hartland model, Jackson Trails)"
TAM0313107,"I wouldn't change anything your staff and representatives were a pleasure to work with. I had alot of fun choose the home then wha goes in the home, and am very excited to move in!!!
Thank you"
TAM0810110,"More fleible hours at the design centre.  (open Sundays for a few hrs)
More flexible dates to book your appointements w/ your rep at the design centre. (When Chantal called she gave me one (1) possible date to meet w/ Kim to do our final pics).  There was zero flexibility until I called head office.

I wouldn't change anything about the sales office."
TAM1015119,I wouldn't change anything. It was perfect as is. Very satisfied!
TAM1112101,So far so good. We would not change a thing. Our home was an inventory home in Orleans on Grammond Circle and all the selections were already made prior to us buying it but we were given the opportunity to go view what was selected. Our home on lot 111 address 332 Grammond circle should be ready November 15th and we hope to be able to have a tour perhaps 3 weeks before closing to see what has been done. Thank you. Anick Lavoie Gauthier and Len Gauthier.
TAM0713106,No changes
TAM08191000,"More communication needs to take place between the sales office and design centre and construction. I felt that my colour selection and upgrades were rushed through and i didn’t have adequate time to make my final decision. As well, if I had questions about the physical construction of the house I didn’t really know who to ask."
TAM12171006,"We currently live north of Montreal (about 2hrs away). I would have appreciated a few photos during construction sent to me, both for a time line of progress and to see how the house was being built. Another small issue during construction was that in spite of having signed off quickly for design changes (kitchen sink//dishwasher moved from island to counter under window) the roughed in plumbing & water were under the island location. It is a waste of time & floor repair to move it to the correct location. Please consider sending the purchasers a few photos during the construction"
TAM0913124,"We should not have to pay to remove items that we have not installed yet.  Example, delete a microwave shelf in order to have an OTR microwave, cabinets haven't been built yet.  Also paying for upgrades that replace what has already been paid for.  Example, the standard railing is included in the price of the house, upgrading the railing costs extra, so we basically pay for two railings, one of which will never be installed.  Prices should be calculated accordingly.

The sales staff (Deb and Michael) were absolutely phenomenal for over a year of us searching for our home.  They made the experience fun, wonderful, and not stressful at all.  I would give them raises."
TAM0411107,That not everything is an upgrade. Gets very expensive if you have upgrade the smallest things where the company could have done it
TAM0511112,Seating in the sales office for more than two people.  Although we were comfortable there wasn't room for any others of our family who were involved.  Perhaps the sales desk could be moved back another foot or two to allow customers some more room.  A minor point but you did ask.  Thank you for asking our opinion.
TAM0413115,Nothing
TAM0713101,"If you want answer, better to have a single window model and to continue dealing with sales rep throughout the process.  Debbie Champagne and headquarters employees do not return call and are disconnected from owners' files"
TAM1016112,"Disappointed that we were asked to push the firm closing date back, as this has added the stress that the house may not be ready on time and we have sold our present house."
TAM0411104,"Sales Centre - Things discussed about our new house were not always properly noted in the paperwork or were forgotten about completely.  Sometimes, we have been told one thing only to have the information change the next time we are at the sales centre discussing our house.  It's can be very confusing.  It makes you feel like you need to write everything down or tape the conversations to make sure you're getting the information correct.  Definitely not enough time to sit and go over the blueprints and not enough information on what to look for on the blueprints.  It's easy to miss things if you don't know what you're looking for or at.
Design Centre:  Choices of standard tiles for the kitchen backsplash are extremely poor.  Notices need to be posted when pricing has changed for upgraded items.  We priced out an upgraded tile that was listed in the binder at a certain price and then found out the next week that the binder price was incorrect and the item had gone up considerably to the point that we could no longer afford it.  It's very disappointing and discouraging.  My wife was near tears a few times when we couldn't find a kitchen backsplash that we liked or that we could afford
However, everyone at the design centre is very nice and very helpful"
TAM0114106,Possibly consider extending evening hours beyond 7:00 p.m. or be open every day of the week until 7:00 p.m.
TAM0612114,"When you chose an upgrade should be reimbursed for the standard option..........greedy not to do otherwise.....Muskoka does it.

Unhappy about the additional cost added to granite purchases.  Should be able to get pricing on different models at Emerald.

Cupboards should be available at Grant's tile so you don't have to carry them back and forth."
TAM07181030,The sales representative did a great job!
TAM0811125,"We loved Deb and Mike, they treated us very well.  I think Tamarack should have a few more model homes for viewing."
TAM0813116,"We did feel at times that, because we were trying to keep our budget low, we didn't always receive as much attention from some of the reps/employees as we would have if we were looking to spend more.  There were a few instances throughout the process where we were a bit blindsided by things that almost made us walk away from working with Tamarack all together but had already invested so much time and it wouldn't be feasible to choose another builder with what little time we had left (we are from out of town and were in town to purchase a house).  We understand that many builders have similar upgrade costs and some of Tamarack's were reasonable (such as upgrading from Oak to Maple flooring) but many were very unreasonable (for example, staggering tile, adding pot lights, etc..)  We are aware that these things take more time, and in some instances more material, but it does not require much, if any, more time/work on the company's end so any overhead costs shouldn't apply, in our opinion. We walked away with the upgrades that were most important to us, but would have been happy to do more and pay more for the house if we felt the costs were appropriate.  Although we know we will be happy with the house, we did feel that the costs of some items were dissuading us from upgrading.
In addition, we found it very difficult to choose our options from such small templates (the 2x4 inch paint swatch, in particular).  This made our process quite lengthy.  If there were larger samples of products, it would be easier and if there was someway to have computer software to be able to see a rough idea of how cupboards/flooring/paint look together - and lighting locations - it would have made the job way easier."
TAM0911100,Perhaps a better process to buy the house instead of standing in line before the houses went for sale.
TAM0712109,"Given we did not have many option because of the City of Ottawa had pre-approved our plans, I would have liked to have made some minor design changes that we were not allowed to do. While I understand why, its still disappointing."
TAM0416102,Structural meeting
TAM1109108,Would have a determined closing date at the time of signing not TBA
TAM10191040,Give more time frame
TAM08191003,More flexible hour and fewer options.
TAM0615105,"A bit more clarity on date ranges - we were uncertain when the actual design process would start, so nervously followed up a couple times."
TAM0511113,more otions and clearer price ranges
TAM08172008,Not much to change
TAM08191042,The design centre should be more open to the need of clients. Software that can help to visualize choices will be helpful at the design centre.
TAM0312113,It would have been better to have more notice prior to the inspection
TAM0715115,"Initial timing presented by Design Centre was not sufficient or consistent with written timelines.  However, this was addressed once feedback was provided through sales and customer service reps"
TAM1118111,"Design Center:  would recommend shorter meeting times with extra appointments.  To have move appointments available on Saturdays.  Some people are not available to leave during the week-days due to work.  It would be great to open Décor Center on the weekend. 

Painting:  Lots for spots, cracks and strikes on wall.  Metal  piece exposed on the ceiling and needs be replaced.  Rush job on the painting all around the house.

Sales Rep:  Needs to be more knowledgeable as we had questions that took along time to receive answers (month or so) and most times with no answer or would tell us to discuss with the décor center who would then direct us to the construction office. 


Frame Walk-through:   We didn't realize what the purpose of the appointment was until we had left as we did not received an explanation. 

We are previous owners of Tamarack homes and purchased through your company again given the great home and service experience received.  Our first home experience was  a lot better from start to finish.  We had repairs completed right away.     Not happy that trades services not working  over the winter as we have issues that we would like to fix.   Example hole in garage that is leaking cold air  into the house that would be nice to have it fixed now.   We have covered the hole with tape etc.  Our heating bill has been affected due to cold entering into our home."
TAM1015129,Too many upgrades that should be standard. Incentive of upgrade should be increased or higher. We would have liked to have a choice of hardwood floors instead of carpets without additional fee on 2nd floor.
TAM0715116,"It would have been nice if the builder would have been more flexible. We understand we bought the home at drywall but all things considered removing things like the prefab so we didn't have to do it after we close would have saved us time later. We really had the master bathroom high up on our priority list but with the added costs of removal of the prefab we were unable to do things before we close. With a baby, it just makes the process that much more difficult after the fact."
TAM1010128,"There was a lot of miscommunication between the kitchen design and design center; a few times they told us it was the other who would take care of certain design aspects.  As well, we emailed the designed numerous changes and they hadn't been changed in the file prior to our visit.  All of the old choices were displayed upon entering the design center instead of the newly emailee choices which easily added 30-40 minutes on the design process.  However, the consultant was extremely patient with us and very knowledgable.  More consultants are definitely needed for this bulk of volume."
TAM0809101,I would have the Pres & Vice Pres & other Top guys to get off their seats and come out & meet us the Buyers.
TAM01181012,Design center shall be more capable of offering alternatives to meet the customer satisfactory
TAM12191018,The lady with the design she needs to be nicer and not rush when figuring things out.  I felt I was taking too much time and she was bored with my time with her.  You might want to switch people around so they are not bored and maybe switch your standard selections up a bit.  Give the designer more ideas to think about and help with the design.
TAM07191044,"The design centre I would provide a coat hanger for people.  Maybe coffee or water dispenser.  The rep had her own coffee.  We never had a chance to look at a model home.  The design centre should have had more samples to choose from.  Maybe 3d model software would help in the design centre to see what the choices would look like rather then jus the samples.  It would make the process quicker.  In Kingston, we had to stop at a completely different to get the safety gear.  Also the safety boots were too big.  They didn't have a size for women and they could have been a tripping hazard.  I managed but they should have something for women.
Communication with the design centre, some communication problems.  Some of the samples weren't there and we had to go to Westborough.  There was a miscommunication with the grout colour.  Also discrepancy with shower tile.  We caught a mistake with colour.  A good idea for the design to emphasize to the customer to make notes to compare with the design centre sheets so that the home owner can double check things like we did and catch mistakes before they happen and get put in the house."
